HomeTeam,AwayTeam,HomeGoals,AwayGoals
Burnley,Man City,0,3
Arsenal,Nott'm Forest,2,1
Bournemouth,West Ham,1,1
Brighton,Luton,4,1
Everton,Fulham,0,1
Sheffield Utd,Crystal Palace,0,1
Newcastle,Aston Villa,5,1
Brentford,Spurs,2,2
Chelsea,Liverpool,1,1
Man Utd,Wolves,1,0
Nott'm Forest,Sheffield Utd,2,1
Fulham,Brentford,0,3
Liverpool,Bournemouth,3,1
Wolves,Brighton,1,4
Spurs,Man Utd,2,0
Man City,Newcastle,1,0
Aston Villa,Everton,4,0
West Ham,Chelsea,3,1
Crystal Palace,Arsenal,0,1
Chelsea,Luton,3,0
Bournemouth,Spurs,0,2
Arsenal,Fulham,2,2
Brentford,Crystal Palace,1,1
Everton,Wolves,0,1
Man Utd,Nott'm Forest,3,2
Brighton,West Ham,1,3
Burnley,Aston Villa,1,3
Sheffield Utd,Man City,1,2
Newcastle,Liverpool,1,2
Luton,West Ham,1,2
Sheffield Utd,Everton,2,2
Brentford,Bournemouth,2,2
Burnley,Spurs,2,5
Chelsea,Nott'm Forest,0,1
Man City,Fulham,5,1
Brighton,Newcastle,3,1
Crystal Palace,Wolves,3,2
Liverpool,Aston Villa,3,0
Arsenal,Man Utd,3,1
Wolves,Liverpool,1,3
Aston Villa,Crystal Palace,3,1
Fulham,Luton,1,0
Man Utd,Brighton,1,3
Spurs,Sheffield Utd,2,1
West Ham,Man City,1,3
Newcastle,Brentford,1,0
Bournemouth,Chelsea,0,0
Everton,Arsenal,0,1
Nott'm Forest,Burnley,1,1
Crystal Palace,Fulham,0,0
Luton,Wolves,1,1
Man City,Nott'm Forest,2,0
Brentford,Everton,1,3
Burnley,Man Utd,0,1
Arsenal,Spurs,2,2
Brighton,Bournemouth,3,1
Chelsea,Aston Villa,0,1
Liverpool,West Ham,3,1
Sheffield Utd,Newcastle,0,8
Aston Villa,Brighton,6,1
Bournemouth,Arsenal,0,4
Everton,Luton,1,2
Man Utd,Crystal Palace,0,1
Newcastle,Burnley,2,0
West Ham,Sheffield Utd,2,0
Wolves,Man City,2,1
Spurs,Liverpool,2,1
Nott'm Forest,Brentford,1,1
Fulham,Chelsea,0,2
Luton,Burnley,1,2
Luton,Spurs,0,1
Burnley,Chelsea,1,4
Everton,Bournemouth,3,0
Fulham,Sheffield Utd,3,1
Man Utd,Brentford,2,1
Crystal Palace,Nott'm Forest,0,0
Brighton,Liverpool,2,2
West Ham,Newcastle,2,2
Wolves,Aston Villa,1,1
Arsenal,Man City,1,0
Liverpool,Everton,2,0
Bournemouth,Wolves,1,2
Brentford,Burnley,3,0
Man City,Brighton,2,1
Newcastle,Crystal Palace,4,0
Nott'm Forest,Luton,2,2
Chelsea,Arsenal,2,2
Sheffield Utd,Man Utd,1,2
Aston Villa,West Ham,4,1
Spurs,Fulham,2,0
Crystal Palace,Spurs,1,2
Chelsea,Brentford,0,2
Arsenal,Sheffield Utd,5,0
Bournemouth,Burnley,2,1
Wolves,Newcastle,2,2
West Ham,Everton,0,1
Aston Villa,Luton,3,1
Brighton,Fulham,1,1
Liverpool,Nott'm Forest,3,0
Man Utd,Man City,0,3
Fulham,Man Utd,0,1
Brentford,West Ham,3,2
Burnley,Crystal Palace,0,2
Everton,Brighton,1,1
Man City,Bournemouth,6,1
Sheffield Utd,Wolves,2,1
Newcastle,Arsenal,1,0
Nott'm Forest,Aston Villa,2,0
Luton,Liverpool,1,1
Spurs,Chelsea,1,4
Wolves,Spurs,2,1
Arsenal,Burnley,3,1
Crystal Palace,Everton,2,3
Man Utd,Luton,1,0
Bournemouth,Newcastle,2,0
Aston Villa,Fulham,3,1
Brighton,Sheffield Utd,1,1
Liverpool,Brentford,3,0
West Ham,Nott'm Forest,3,2
Chelsea,Man City,4,4
