name,position,team,ρ_β,ω_α,ω_β,ψ_α,ψ_β,start_prob,sub_prob,unused_prob,score_prob,assist_prob
Jadon Sancho,MID,14.0,[31.25 24.25 21.5 ],9.0,72.0,7.0,74.0,0.40563262854829046,0.3144195714981739,0.27994779995353614,0.11101292445754458,0.08612017034855439
Amad Diallo,MID,14.0,[ 2.25  1.25 79.5 ],0.0,87.0,1.0,86.0,0.026606512365991538,0.015354295328896485,0.9580391923051086,3.017305715084197e-06,0.011305931270572023
Teden Mengi,DEF,14.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.0060617016799966,0.006325557071306826,0.9876127412486956,7.549056776217338e-06,7.6211502674844504e-06
Luke Shaw,DEF,14.0,[132.25  26.25 108.5 ],3.0,268.0,20.0,251.0,0.49556100946976933,0.09826381879612368,0.4061751717341072,0.011097875161602683,0.07373642341370923
Christian Eriksen,MID,14.0,[137.25  30.25  38.5 ],31.0,179.0,57.0,153.0,0.666260648408071,0.14688164706465173,0.18685770452727912,0.14781379221152952,0.27144498544861856
Eric Bailly,DEF,14.0,[ 55.25  15.25 196.5 ],1.0,270.0,0.0,271.0,0.2072471811481983,0.05660245506661865,0.7361503637851833,0.0037501619681859773,1.1188054542956813e-06
Donny van de Beek,MID,14.0,[10.25 31.25 75.5 ],3.0,118.0,2.0,119.0,0.0876156070229128,0.2672704357244363,0.6451139572526475,0.024815152461391425,0.01650306687837241
Kobbie Mainoo,MID,14.0,[ 0.25  1.25 29.5 ],0.0,35.0,0.0,35.0,0.007786685002534112,0.040821976299170074,0.9513913386982944,1.4113660785411511e-05,1.2736691780160272e-05
Mason Mount,MID,14.0,[98.25 31.25 23.5 ],27.0,130.0,28.0,129.0,0.6420430090109752,0.2045462702699107,0.15341072071911624,0.17205549314217042,0.17836016000851862
Facundo Pellistri Rebollo,MID,14.0,[ 0.25  4.25 34.5 ],0.0,43.0,0.0,43.0,0.007147963284391547,0.10892625078892229,0.883925785926685,9.71310100916403e-06,1.0511486917328206e-05
Shola Shoretire,FWD,14.0,[ 0.25  3.25 42.5 ],0.0,50.0,0.0,50.0,0.004795360150192128,0.07129281946084415,0.9239118203889679,1.0856645203517867e-05,7.84314754271416e-06
Lisandro MartÃÂÃÂ­nez,DEF,14.0,[11.25 16.25 11.5 ],1.0,42.0,0.0,43.0,0.2887415051750393,0.4158728487343732,0.295385646090589,0.0232124790635945,1.1867319249411614e-05
Dean Henderson,GK,14.0,[52.25 15.25 85.5 ],0.0,157.0,1.0,156.0,0.3394251047648835,0.10001023725246384,0.5605646579826523,9.962231339698087e-07,0.006432132293216524
Antony Matheus dos Santos,MID,14.0,[17.25  8.25  8.5 ],4.0,34.0,2.0,36.0,0.5070217686989525,0.24313004979057348,0.24984818151047675,0.10514943162520952,0.05244348421159142
Marcus Rashford,MID,14.0,[156.25  72.25  38.5 ],71.0,200.0,43.0,228.0,0.5850358285218532,0.27074122798762446,0.144222943490523,0.262008762123193,0.15885754952255143
Scott McTominay,MID,14.0,[88.25 56.25 89.5 ],11.0,227.0,6.0,232.0,0.37746068544760314,0.2402436601079693,0.38229565444443003,0.04650886620879673,0.025295341373960757
Alejandro Garnacho,MID,14.0,[ 4.25 15.25 19.5 ],3.0,40.0,2.0,41.0,0.10982327611915592,0.3905857126399916,0.4995910112408522,0.06979486687507708,0.04653259103392487
Hannibal Mejbri,MID,14.0,[ 1.25  2.25 13.5 ],0.0,21.0,0.0,21.0,0.0745365751805829,0.1331225032970667,0.792340921522346,2.7705119558367245e-05,3.6305386164648814e-05
Bruno Borges Fernandes,MID,14.0,[25.25 12.25  1.5 ],8.0,35.0,9.0,34.0,0.6476894029266839,0.31364114632409495,0.0386694507492192,0.18484829902255667,0.2090228872374314
RaphaÃÂÃÂ«l Varane,DEF,14.0,[34.25 12.25 29.5 ],1.0,79.0,1.0,79.0,0.45074484686428995,0.16100949786658048,0.3882456552691299,0.012605436592352966,0.012371132972387146
Brandon Williams,DEF,14.0,[36.25 11.25 99.5 ],1.0,150.0,2.0,149.0,0.2464042240840403,0.07651099640275506,0.6770847795132062,0.006602116392226583,0.01321829197868734
Frederico Rodrigues de Paula Santos,MID,14.0,[92.25 47.25 51.5 ],8.0,187.0,10.0,185.0,0.4833938065171097,0.2472630660808099,0.2693431274020825,0.040976740415146255,0.051202532393468475
Diogo Dalot Teixeira,DEF,14.0,[11.25 15.25 12.5 ],1.0,42.0,2.0,41.0,0.28844087554751285,0.3915947336465911,0.319964390805898,0.023435598018867288,0.04681596142083492
Anthony Martial,FWD,14.0,[112.25  53.25 101.5 ],51.0,220.0,35.0,236.0,0.4202623178172766,0.1994183915108925,0.38031929067183107,0.1880699037679311,0.12947990473101506
Victor LindelÃÂÃÂ¶f,DEF,14.0,[101.25  11.25  40.5 ],2.0,155.0,3.0,154.0,0.662036376348697,0.07363512849482257,0.26432849515648316,0.01265036606773027,0.019070133614346233
Harry Maguire,DEF,14.0,[195.25  21.25  50.5 ],11.0,260.0,10.0,261.0,0.7312621129759117,0.0796197887190304,0.18911809830506007,0.04051062914749159,0.03714094488908017
Carlos Henrique Casimiro,MID,14.0,[18.25 10.25  7.5 ],4.0,36.0,3.0,37.0,0.507354163619792,0.28429201516248814,0.2083538212177163,0.09995946046684027,0.075536249738687
Tom Heaton,GK,14.0,[ 77.25   1.25 188.5 ],0.0,271.0,0.0,271.0,0.28976724332483755,0.004612045868081313,0.7056207108070784,7.3788548779334035e-06,1.8945717299659435e-06
Alex Telles,DEF,14.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.006444007359901405,0.006116228687627078,0.987439763952477,8.19214628432254e-06,4.871012298502222e-06
Aaron Wan-Bissaka,DEF,14.0,[146.25   4.25  84.5 ],2.0,237.0,12.0,227.0,0.6222118767678684,0.01820705035035336,0.35958107288177804,0.008391244344805012,0.05017766351584986
Tyrell Malacia,DEF,14.0,[ 9.25 13.25 16.5 ],0.0,43.0,0.0,43.0,0.23794966233667922,0.3390027744368182,0.42304756322650217,6.904394964569728e-06,1.3221034324402398e-05
Jonny Evans,DEF,14.0,[160.25  20.25  86.5 ],9.0,262.0,8.0,263.0,0.6002379391701449,0.07577821716066338,0.3239838436691954,0.03322197448325875,0.029499450918999023
Rhys Bennett,DEF,14.0,[ 0.25  0.25 24.5 ],0.0,29.0,0.0,29.0,0.00985323836203099,0.0102163945099937,0.9799303671279775,7.8845008473552e-06,6.386513101350149e-06
