name,position,team,ρ_β,ω_α,ω_β,ψ_α,ψ_β,start_prob,sub_prob,unused_prob,score_prob,assist_prob,minutes_played
Jadon Sancho,MID,14.0,[31.25 24.25 21.5 ],9.0,72.0,7.0,74.0,0.4056326285482904,0.3144195714981739,0.2799477999535361,0.1110129244575445,0.0861201703485543,60
Amad Diallo,MID,14.0,[ 2.25  1.25 79.5 ],0.0,87.0,1.0,86.0,0.0266065123659915,0.0153542953288964,0.9580391923051086,3.017305715084197e-06,0.011305931270572,60
Teden Mengi,DEF,14.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.0060617016799966,0.0063255570713068,0.9876127412486956,7.549056776217338e-06,7.621150267484451e-06,90
Luke Shaw,DEF,14.0,[132.25  26.25 108.5 ],3.0,268.0,20.0,251.0,0.4955610094697693,0.0982638187961236,0.4061751717341072,0.0110978751616026,0.0737364234137092,45
Christian Eriksen,MID,14.0,[137.25  30.25  38.5 ],31.0,179.0,57.0,153.0,0.666260648408071,0.1468816470646517,0.1868577045272791,0.1478137922115295,0.2714449854486185,45
Eric Bailly,DEF,14.0,[ 55.25  15.25 196.5 ],1.0,270.0,0.0,271.0,0.2072471811481983,0.0566024550666186,0.7361503637851833,0.0037501619681859,1.1188054542956813e-06,60
Donny van de Beek,MID,14.0,[10.25 31.25 75.5 ],3.0,118.0,2.0,119.0,0.0876156070229128,0.2672704357244363,0.6451139572526475,0.0248151524613914,0.0165030668783724,45
Kobbie Mainoo,MID,14.0,[ 0.25  1.25 29.5 ],0.0,35.0,0.0,35.0,0.0077866850025341,0.04082197629917,0.9513913386982944,1.4113660785411513e-05,1.2736691780160272e-05,45
Mason Mount,MID,14.0,[98.25 31.25 23.5 ],27.0,130.0,28.0,129.0,0.6420430090109752,0.2045462702699107,0.1534107207191162,0.1720554931421704,0.1783601600085186,90
Facundo Pellistri Rebollo,MID,14.0,[ 0.25  4.25 34.5 ],0.0,43.0,0.0,43.0,0.0071479632843915,0.1089262507889222,0.883925785926685,9.71310100916403e-06,1.0511486917328206e-05,90
Shola Shoretire,FWD,14.0,[ 0.25  3.25 42.5 ],0.0,50.0,0.0,50.0,0.0047953601501921,0.0712928194608441,0.923911820388968,1.0856645203517868e-05,7.84314754271416e-06,60
Lisandro MartÃÂÃÂ­nez,DEF,14.0,[11.25 16.25 11.5 ],1.0,42.0,0.0,43.0,0.2887415051750393,0.4158728487343732,0.295385646090589,0.0232124790635945,1.1867319249411614e-05,60
Dean Henderson,GK,14.0,[52.25 15.25 85.5 ],0.0,157.0,1.0,156.0,0.3394251047648835,0.1000102372524638,0.5605646579826523,9.962231339698087e-07,0.0064321322932165,60
Antony Matheus dos Santos,MID,14.0,[17.25  8.25  8.5 ],4.0,34.0,2.0,36.0,0.5070217686989525,0.2431300497905734,0.2498481815104767,0.1051494316252095,0.0524434842115914,90
Marcus Rashford,MID,14.0,[156.25  72.25  38.5 ],71.0,200.0,43.0,228.0,0.5850358285218532,0.2707412279876244,0.144222943490523,0.262008762123193,0.1588575495225514,60
Scott McTominay,MID,14.0,[88.25 56.25 89.5 ],11.0,227.0,6.0,232.0,0.3774606854476031,0.2402436601079693,0.38229565444443,0.0465088662087967,0.0252953413739607,90
Alejandro Garnacho,MID,14.0,[ 4.25 15.25 19.5 ],3.0,40.0,2.0,41.0,0.1098232761191559,0.3905857126399916,0.4995910112408522,0.069794866875077,0.0465325910339248,90
Hannibal Mejbri,MID,14.0,[ 1.25  2.25 13.5 ],0.0,21.0,0.0,21.0,0.0745365751805829,0.1331225032970667,0.792340921522346,2.7705119558367245e-05,3.6305386164648814e-05,45
Bruno Borges Fernandes,MID,14.0,[25.25 12.25  1.5 ],8.0,35.0,9.0,34.0,0.6476894029266839,0.3136411463240949,0.0386694507492192,0.1848482990225566,0.2090228872374314,90
RaphaÃÂÃÂ«l Varane,DEF,14.0,[34.25 12.25 29.5 ],1.0,79.0,1.0,79.0,0.4507448468642899,0.1610094978665804,0.3882456552691299,0.0126054365923529,0.0123711329723871,60
Brandon Williams,DEF,14.0,[36.25 11.25 99.5 ],1.0,150.0,2.0,149.0,0.2464042240840403,0.076510996402755,0.6770847795132062,0.0066021163922265,0.0132182919786873,45
Frederico Rodrigues de Paula Santos,MID,14.0,[92.25 47.25 51.5 ],8.0,187.0,10.0,185.0,0.4833938065171097,0.2472630660808099,0.2693431274020825,0.0409767404151462,0.0512025323934684,90
Diogo Dalot Teixeira,DEF,14.0,[11.25 15.25 12.5 ],1.0,42.0,2.0,41.0,0.2884408755475128,0.3915947336465911,0.319964390805898,0.0234355980188672,0.0468159614208349,90
Anthony Martial,FWD,14.0,[112.25  53.25 101.5 ],51.0,220.0,35.0,236.0,0.4202623178172766,0.1994183915108925,0.380319290671831,0.1880699037679311,0.129479904731015,90
Victor LindelÃÂÃÂ¶f,DEF,14.0,[101.25  11.25  40.5 ],2.0,155.0,3.0,154.0,0.662036376348697,0.0736351284948225,0.2643284951564831,0.0126503660677302,0.0190701336143462,45
Harry Maguire,DEF,14.0,[195.25  21.25  50.5 ],11.0,260.0,10.0,261.0,0.7312621129759117,0.0796197887190304,0.18911809830506,0.0405106291474915,0.0371409448890801,45
Carlos Henrique Casimiro,MID,14.0,[18.25 10.25  7.5 ],4.0,36.0,3.0,37.0,0.507354163619792,0.2842920151624881,0.2083538212177163,0.0999594604668402,0.075536249738687,60
