name,position,team,ρ_β,ω_α,ω_β,ψ_α,ψ_β,start_prob,sub_prob,unused_prob,score_prob,assist_prob,minutes_played
Andy Lonergan,GK,9.0,[  0.25   0.25 101.5 ],0.0,106.0,0.0,106.0,0.0025256412738628,0.002420524215691,0.9950538345104482,5.175198899966315e-06,3.4827026546428245e-06,90
Idrissa Gueye,MID,9.0,[117.25  15.25  53.5 ],3.0,187.0,7.0,183.0,0.6306023637722212,0.0821292941267811,0.287268342100994,0.0156677175822336,0.0367754588829843,45
James Tarkowski,DEF,9.0,[201.25  31.25  34.5 ],8.0,263.0,9.0,262.0,0.7540655800529167,0.1168754255137183,0.1290589944333672,0.0294157312263387,0.0332832993118604,90
Arnaut Danjuma Groeneveld,MID,9.0,[ 5.25  9.25 24.5 ],0.0,43.0,1.0,42.0,0.1356308910599857,0.2363527463546428,0.6280163625853725,5.276415094556452e-06,0.0231435452364358,45
Ben Godfrey,DEF,9.0,[91.25  6.25 51.5 ],0.0,153.0,3.0,150.0,0.6153287898547477,0.0408196322611012,0.343851577884151,9.928801184560111e-07,0.0199889544841567,90
AndrÃÂÃÂ© Tavares Gomes,MID,9.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.006502051564786,0.006402498070194,0.9870954503650224,3.5452412937739096e-06,3.37637138277344e-06,45
Dominic Calvert-Lewin,FWD,9.0,[128.25  53.25  76.5 ],47.0,215.0,23.0,239.0,0.4969912947855944,0.2063366594983676,0.2966720457160381,0.1795739118549307,0.0876648857938581,60
Neal Maupay,FWD,9.0,[88.25 41.25 23.5 ],27.0,130.0,8.0,149.0,0.5767728346154202,0.2695840916551018,0.1536430737294763,0.1720333684491633,0.05076954071412,60
Tyler Onyango,MID,9.0,[ 0.25  3.25 45.5 ],0.0,53.0,0.0,53.0,0.0050213106769756,0.065801855059722,0.9291768342633075,7.7967431252408e-06,5.952430353123663e-06,90
Demarai Gray,MID,9.0,[91.25 97.25 78.5 ],19.0,252.0,18.0,253.0,0.3418934690989966,0.3639767831481519,0.2941297477528499,0.0702160462488375,0.066209112611877,60
Abdoulaye DoucourÃÂÃÂ©,MID,9.0,[108.25  13.25  31.5 ],13.0,144.0,14.0,143.0,0.7073117424342225,0.0866842048540841,0.2060040527116949,0.0827624523087687,0.089112149617234,90
Jean-Philippe Gbamin,MID,9.0,[  1.25   5.25 146.5 ],0.0,157.0,0.0,157.0,0.0082723845746347,0.0341201421791617,0.9576074732462077,1.776564239720554e-06,1.6282837449501826e-06,45
Lewis Dobbin,MID,9.0,[ 0.25  3.25 30.5 ],0.0,38.0,0.0,38.0,0.0069308132697763,0.0961721622911604,0.8968970244390633,1.3128369341571689e-05,3.681177546452128e-06,90
Vitalii Mykolenko,DEF,9.0,[28.25 19.25 12.5 ],1.0,63.0,2.0,62.0,0.4710285354174605,0.3208440746893741,0.2081273898931653,0.0157514882068012,0.0312779478122574,60
Alex Iwobi,MID,9.0,[140.25  68.25  58.5 ],15.0,256.0,31.0,240.0,0.5256172667937009,0.2555291018352194,0.2188536313710802,0.0553275292760851,0.1142996256668168,45
Ellis Simms,FWD,9.0,[ 3.25  9.25 77.5 ],1.0,93.0,0.0,94.0,0.0364915636518573,0.102329350294565,0.8611790860535778,0.0104582880203617,3.4664597957611113e-06,60
