name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Folarin Balogun,[ 1.25  1.25 74.5 ],0.0,81.0,0.0,81.0
CÃ©dric Alves Soares,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mohamed Elneny,[ 21.25  22.25 186.5 ],0.0,234.0,3.0,231.0
FÃ¡bio Ferreira Vieira,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Gabriel dos Santos MagalhÃ£es,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kai Havertz,[85.25 43.25 24.5 ],32.0,125.0,21.0,136.0
Gabriel Fernando de Jesus,[124.25  88.25  73.5 ],73.0,217.0,49.0,241.0
Jorge Luiz Frello Filho,[137.25  44.25  48.5 ],21.0,213.0,11.0,223.0
Jakub Kiwior,[16.25 11.25 30.5 ],2.0,60.0,3.0,59.0
Marcus Oliveira Alencar,[ 0.25  1.25 75.5 ],0.0,81.0,0.0,81.0
Gabriel Martinelli Silva,[45.25 26.25  5.5 ],21.0,60.0,14.0,67.0
Eddie Nketiah,[19.25 38.25 19.5 ],9.0,72.0,6.0,75.0
Martin Ãdegaard,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Thomas Partey,[66.25 29.25 53.5 ],5.0,148.0,4.0,149.0
Nicolas PÃ©pÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Aaron Ramsdale,[140.25  13.25  70.5 ],0.0,228.0,1.0,227.0
RÃºnar Alex RÃºnarsson,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Bukayo Saka,[141.25  29.25  38.5 ],47.0,166.0,44.0,169.0
William Saliba,[52.25 13.25 87.5 ],4.0,153.0,2.0,155.0
Emile Smith Rowe,[42.25 38.25 95.5 ],12.0,168.0,11.0,169.0
Kieran Tierney,[ 61.25  30.25 100.5 ],3.0,193.0,10.0,186.0
Takehiro Tomiyasu,[31.25 33.25 47.5 ],2.0,114.0,3.0,113.0
Leandro Trossard,[114.25  56.25  20.5 ],38.0,157.0,30.0,165.0
Benjamin White,[58.25 17.25  1.5 ],6.0,75.0,10.0,71.0
Granit Xhaka,[201.25  24.25  80.5 ],17.0,293.0,28.0,282.0
Oleksandr Zinchenko,[ 98.25  32.25 169.5 ],2.0,302.0,11.0,293.0
David Raya Martin,[80.25 14.25 20.5 ],0.0,119.0,0.0,119.0
Declan Rice,[212.25  30.25  45.5 ],17.0,275.0,22.0,270.0
Reiss Nelson,[  9.25  40.25 218.5 ],4.0,268.0,4.0,268.0
JurriÃ«n Timber,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Karl Hein,[  0.25   0.25 103.5 ],0.0,108.0,0.0,108.0
Charles Sagoe,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Reuell Walters,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Bradley Ibrahim,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Myles Lewis-Skelly,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Ethan Nwaneri,[ 0.25  2.25 50.5 ],0.0,57.0,0.0,57.0
Mauro Bandeira,[ 0.25  0.25 17.5 ],0.0,22.0,0.0,22.0
James Sweet,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Alexandre Moreno Lopera,[25.25 15.25 18.5 ],2.0,61.0,3.0,60.0
Leon Bailey,[42.25 44.25 28.5 ],15.0,104.0,19.0,100.0
Emiliano BuendÃ­a Stati,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Matty Cash,[32.25 23.25 21.5 ],2.0,79.0,4.0,77.0
Calum Chambers,[ 95.25  29.25 181.5 ],6.0,304.0,6.0,304.0
Philippe Coutinho Correia,[17.25 24.25 54.5 ],6.0,94.0,3.0,97.0
Keinan Davis,[  5.25  29.25 156.5 ],1.0,194.0,2.0,193.0
Leander Dendoncker,[101.25  51.25  76.5 ],10.0,223.0,6.0,227.0
Diego Carlos Santos Silva,[20.25 10.25 46.5 ],0.0,81.0,0.0,81.0
Lucas Digne,[161.25  29.25  37.5 ],6.0,226.0,30.0,202.0
Douglas Luiz Soares de Paulo,[150.25  25.25  15.5 ],20.0,175.0,19.0,176.0
Jhon DurÃ¡n,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kortney Hause,[ 28.25   4.25 196.5 ],3.0,230.0,0.0,233.0
Tim Iroegbunam,[ 2.25 10.25 89.5 ],0.0,106.0,0.0,106.0
Boubacar Kamara,[34.25 10.25 32.5 ],0.0,81.0,2.0,79.0
Ezri Konsa Ngoyo,[143.25  20.25  27.5 ],6.0,189.0,3.0,192.0
Emiliano MartÃ­nez Romero,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
John McGinn,[151.25  18.25  21.5 ],16.0,179.0,24.0,171.0
Tyrone Mings,[135.25  22.25 147.5 ],6.0,303.0,11.0,298.0
Robin Olsen,[ 14.25   3.25 111.5 ],0.0,133.0,0.0,133.0
Jaden Philogene-Bidace,[  0.25   3.25 124.5 ],0.0,132.0,0.0,132.0
Jacob Ramsey,[61.25 46.25 44.5 ],13.0,143.0,10.0,146.0
Morgan Sanson,[  6.25  15.25 113.5 ],0.0,139.0,0.0,139.0
Viljami Sinisalo,[ 0.25  0.25 92.5 ],0.0,97.0,0.0,97.0
Youri Tielemans,[142.25  41.25  21.5 ],23.0,186.0,28.0,181.0
